Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,CountryName
3720622,SA_0000001419,COUNTRY,PAN,YEAR,AMR,Americas,SEX,2004,SEX_FMLE,,,,,,,207,207.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Panama
1226703,SA_0000001419,COUNTRY,UZB,YEAR,EUR,Europe,SEX,2004,SEX_FMLE,,,,,,,148,148.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Uzbekistan
7719031,SA_0000001419,COUNTRY,NLD,YEAR,EUR,Europe,SEX,2004,SEX_BTSX,,,,,,,195,195.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Netherlands
5296009,SA_0000001419,COUNTRY,KOR,YEAR,WPR,Western Pacific,SEX,2004,SEX_BTSX,,,,,,,51,51.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,"Korea, Republic of"
9371323,SA_0000001419,COUNTRY,HRV,YEAR,EUR,Europe,SEX,2004,SEX_MLE,,,,,,,5,,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Croatia
8189316,SA_0000001419,COUNTRY,IND,YEAR,SEAR,South-East Asia,SEX,2004,SEX_FMLE,,,,,,,162,162.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,India
4098080,SA_0000001419,COUNTRY,BHS,YEAR,AMR,Americas,SEX,2004,SEX_FMLE,,,,,,,416,416.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Bahamas
4396675,SA_0000001419,COUNTRY,CRI,YEAR,AMR,Americas,SEX,2004,SEX_BTSX,,,,,,,96,96.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Costa Rica
1365720,SA_0000001419,COUNTRY,BIH,YEAR,EUR,Europe,SEX,2004,SEX_BTSX,,,,,,,124,124.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Bosnia and Herzegovina
2853274,SA_0000001419,COUNTRY,KAZ,YEAR,EUR,Europe,SEX,2004,SEX_BTSX,,,,,,,165,165.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Kazakhstan
7281290,SA_0000001419,COUNTRY,VNM,YEAR,WPR,Western Pacific,SEX,2004,SEX_FMLE,,,,,,,139,139.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Viet Nam
9250628,SA_0000001419,COUNTRY,ESP,YEAR,EUR,Europe,SEX,2004,SEX_FMLE,,,,,,,237,237.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Spain
6646156,SA_0000001419,COUNTRY,KWT,YEAR,EMR,Eastern Mediterranean,SEX,2004,SEX_BTSX,,,,,,,63,63.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Kuwait
8964335,SA_0000001419,COUNTRY,MOZ,YEAR,AFR,Africa,SEX,2004,SEX_BTSX,,,,,,,17,17.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Mozambique
2700660,SA_0000001419,COUNTRY,GMB,YEAR,AFR,Africa,SEX,2004,SEX_BTSX,,,,,,,55,55.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Gambia
4700933,SA_0000001419,COUNTRY,SWE,YEAR,EUR,Europe,SEX,2004,SEX_BTSX,,,,,,,117,117.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Sweden
1365797,SA_0000001419,COUNTRY,MLT,YEAR,EUR,Europe,SEX,2004,SEX_MLE,,,,,,,4,,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Malta
8898069,SA_0000001419,COUNTRY,MLT,YEAR,EUR,Europe,SEX,2004,SEX_BTSX,,,,,,,161,161.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Malta
5289583,SA_0000001419,COUNTRY,VEN,YEAR,AMR,Americas,SEX,2004,SEX_BTSX,,,,,,,116,116.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,"Venezuela, Bolivarian Republic of"
6380932,SA_0000001419,COUNTRY,VEN,YEAR,AMR,Americas,SEX,2004,SEX_MLE,,,,,,,1,,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,"Venezuela, Bolivarian Republic of"
1557639,SA_0000001419,COUNTRY,BGR,YEAR,EUR,Europe,SEX,2004,SEX_FMLE,,,,,,,241,241.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Bulgaria
2760592,SA_0000001419,COUNTRY,BEN,YEAR,AFR,Africa,SEX,2004,SEX_BTSX,,,,,,,204,204.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Benin
122747,SA_0000001419,COUNTRY,CHL,YEAR,AMR,Americas,SEX,2004,SEX_FMLE,,,,,,,166,166.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Chile
8163499,SA_0000001419,COUNTRY,CHE,YEAR,EUR,Europe,SEX,2004,SEX_MLE,,,,,,,1,,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Switzerland
527267,SA_0000001419,COUNTRY,GRD,YEAR,AMR,Americas,SEX,2004,SEX_MLE,,,,,,,3,,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Grenada
7546762,SA_0000001419,COUNTRY,TUN,YEAR,EMR,Eastern Mediterranean,SEX,2004,SEX_FMLE,,,,,,,122,122.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Tunisia
1478222,SA_0000001419,COUNTRY,FIN,YEAR,EUR,Europe,SEX,2004,SEX_BTSX,,,,,,,126,126.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Finland
2648846,SA_0000001419,COUNTRY,NAM,YEAR,AFR,Africa,SEX,2004,SEX_BTSX,,,,,,,81,81.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Namibia
1616977,SA_0000001419,COUNTRY,MLI,YEAR,AFR,Africa,SEX,2004,SEX_BTSX,,,,,,,133,133.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Mali
903045,SA_0000001419,COUNTRY,KNA,YEAR,AMR,Americas,SEX,2004,SEX_FMLE,,,,,,,348,348.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Saint Kitts and Nevis
235804,SA_0000001419,COUNTRY,SDN,YEAR,EMR,Eastern Mediterranean,SEX,2004,SEX_FMLE,,,,,,,347,347.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Sudan
962845,SA_0000001419,COUNTRY,PRY,YEAR,AMR,Americas,SEX,2004,SEX_BTSX,,,,,,,126,126.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Paraguay
4522836,SA_0000001419,COUNTRY,NIC,YEAR,AMR,Americas,SEX,2004,SEX_BTSX,,,,,,,112,112.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Nicaragua
3211267,SA_0000001419,COUNTRY,FJI,YEAR,WPR,Western Pacific,SEX,2004,SEX_FMLE,,,,,,,273,273.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Fiji
375170,SA_0000001419,COUNTRY,VCT,YEAR,AMR,Americas,SEX,2004,SEX_MLE,,,,,,,4,,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Saint Vincent and the Grenadines
