Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,CountryName
8446804,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,NOR,YEAR,EUR,Europe,SEX,SEX_BTSX,2020,,,,,,,3.5,3.5,,,,2023-04-20T07:33:17+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Norway
5123098,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,TZA,YEAR,AFR,Africa,SEX,SEX_FMLE,2020,,,,,,,0.9,0.92,,,,2023-04-20T07:33:23+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,"Tanzania, United Republic of"
9423723,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,BEL,YEAR,EUR,Europe,SEX,SEX_FMLE,2020,,,,,,,3.2,3.2,,,,2023-04-20T07:33:06+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Belgium
8764779,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,BWA,YEAR,AFR,Africa,SEX,SEX_FMLE,2020,,,,,,,0.8,0.8,,,,2023-04-20T07:33:06+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Botswana
8798067,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,NPL,YEAR,SEAR,South-East Asia,SEX,SEX_FMLE,2020,,,,,,,1.7,1.7,,,,2023-04-20T07:33:17+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Nepal
2052476,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,LCA,YEAR,AMR,Americas,SEX,SEX_BTSX,2020,,,,,,,4.2,4.2,,,,2023-04-20T07:33:19+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Saint Lucia
155184,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,TGO,YEAR,AFR,Africa,SEX,SEX_FMLE,2020,,,,,,,1.2,1.2,,,,2023-04-20T07:33:22+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Togo
3554597,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,JAM,YEAR,AMR,Americas,SEX,SEX_MLE,2020,,,,,,,0.9,0.92,,,,2023-04-20T07:33:13+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Jamaica
234942,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,JAM,YEAR,AMR,Americas,SEX,SEX_BTSX,2020,,,,,,,0.8,0.75,,,,2023-04-20T07:33:13+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Jamaica
533153,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,FIN,YEAR,EUR,Europe,SEX,SEX_FMLE,2020,,,,,,,2.2,2.2,,,,2023-04-20T07:33:11+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Finland
6930088,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,NER,YEAR,AFR,Africa,SEX,SEX_MLE,2020,,,,,,,1.6,1.6,,,,2023-04-20T07:33:17+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Niger
908869,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,PAK,YEAR,EMR,Eastern Mediterranean,SEX,SEX_FMLE,2020,,,,,,,7.0,7.0,,,,2023-04-20T07:33:18+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Pakistan
4634089,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,SGP,YEAR,WPR,Western Pacific,SEX,SEX_FMLE,2020,,,,,,,1.6,1.6,,,,2023-04-20T07:33:20+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Singapore
3117449,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,ROU,YEAR,EUR,Europe,SEX,SEX_BTSX,2020,,,,,,,5.4,5.4,,,,2023-04-20T07:33:19+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Romania
5453957,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,LVA,YEAR,EUR,Europe,SEX,SEX_BTSX,2020,,,,,,,6.0,6.0,,,,2023-04-20T07:33:14+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Latvia
