Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,CountryName
5012519,SA_0000001420,COUNTRY,PRK,SEAR,YEAR,South-East Asia,SEX,SEX_FMLE,2004,,,,,,,99,99.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,North Korea
5071872,SA_0000001420,COUNTRY,BRA,AMR,YEAR,Americas,SEX,SEX_MLE,2004,,,,,,,96,96.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Brazil
9319572,SA_0000001420,COUNTRY,GMB,AFR,YEAR,Africa,SEX,SEX_MLE,2004,,,,,,,19,19.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Gambia
9137680,SA_0000001420,COUNTRY,DEU,EUR,YEAR,Europe,SEX,SEX_FMLE,2004,,,,,,,131,131.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Germany
4913808,SA_0000001420,COUNTRY,DZA,AFR,YEAR,Africa,SEX,SEX_FMLE,2004,,,,,,,59,59.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Algeria
3298533,SA_0000001420,COUNTRY,ARM,EUR,YEAR,Europe,SEX,SEX_MLE,2004,,,,,,,93,93.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Armenia
71037,SA_0000001420,COUNTRY,KGZ,EUR,YEAR,Europe,SEX,SEX_FMLE,2004,,,,,,,48,48.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Kyrgyzstan
6846024,SA_0000001420,COUNTRY,SLV,AMR,YEAR,Americas,SEX,SEX_MLE,2004,,,,,,,24,24.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,El Salvador
515001,SA_0000001420,COUNTRY,CRI,AMR,YEAR,Americas,SEX,SEX_BTSX,2004,,,,,,,101,101.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Costa Rica
7322310,SA_0000001420,COUNTRY,USA,AMR,YEAR,Americas,SEX,SEX_FMLE,2004,,,,,,,126,126.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,United States of America
673251,SA_0000001420,COUNTRY,TKM,EUR,YEAR,Europe,SEX,SEX_FMLE,2004,,,,,,,20,20.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Turkmenistan
4324953,SA_0000001420,COUNTRY,COM,AFR,YEAR,Africa,SEX,SEX_MLE,2004,,,,,,,56,56.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Comoros
2827983,SA_0000001420,COUNTRY,NRU,WPR,YEAR,Western Pacific,SEX,SEX_MLE,2004,,,,,,,2,,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Nauru
8263520,SA_0000001420,COUNTRY,MLT,EUR,YEAR,Europe,SEX,SEX_MLE,2004,,,,,,,170,170.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Malta
1195478,SA_0000001420,COUNTRY,BEL,EUR,YEAR,Europe,SEX,SEX_FMLE,2004,,,,,,,133,133.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Belgium
5148,SA_0000001420,COUNTRY,BGR,EUR,YEAR,Europe,SEX,SEX_MLE,2004,,,,,,,197,197.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Bulgaria
5800361,SA_0000001420,COUNTRY,BGD,SEAR,YEAR,South-East Asia,SEX,SEX_FMLE,2004,,,,,,,15,15.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Bangladesh
5197993,SA_0000001420,COUNTRY,NIC,AMR,YEAR,Americas,SEX,SEX_BTSX,2004,,,,,,,64,64.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Nicaragua
2511212,SA_0000001420,COUNTRY,ISR,EUR,YEAR,Europe,SEX,SEX_BTSX,2004,,,,,,,153,153.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Israel
1525595,SA_0000001420,COUNTRY,CAN,AMR,YEAR,Americas,SEX,SEX_BTSX,2004,,,,,,,154,154.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Canada
3172504,SA_0000001420,COUNTRY,MOZ,AFR,YEAR,Africa,SEX,SEX_MLE,2004,,,,,,,11,11.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Mozambique
8329927,SA_0000001420,COUNTRY,ARG,AMR,YEAR,Americas,SEX,SEX_FMLE,2004,,,,,,,112,112.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Argentina
2412205,SA_0000001420,COUNTRY,CUB,AMR,YEAR,Americas,SEX,SEX_MLE,2004,,,,,,,103,103.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Cuba
5840322,SA_0000001420,COUNTRY,GTM,AMR,YEAR,Americas,SEX,SEX_FMLE,2004,,,,,,,66,66.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Guatemala
9366194,SA_0000001420,COUNTRY,JOR,EMR,YEAR,Eastern Mediterranean,SEX,SEX_BTSX,2004,,,,,,,123,123.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Jordan
2014679,SA_0000001420,COUNTRY,COG,AFR,YEAR,Africa,SEX,SEX_BTSX,2004,,,,,,,53,53.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Congo
9104632,SA_0000001420,COUNTRY,ARE,EMR,YEAR,Eastern Mediterranean,SEX,SEX_BTSX,2004,,,,,,,47,47.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,United Arab Emirates
7660841,SA_0000001420,COUNTRY,TTO,AMR,YEAR,Americas,SEX,SEX_FMLE,2004,,,,,,,145,145.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Trinidad and Tobago
9018417,SA_0000001420,COUNTRY,ISR,EUR,YEAR,Europe,SEX,SEX_FMLE,2004,,,,,,,148,148.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Israel
8204171,SA_0000001420,COUNTRY,GMB,AFR,YEAR,Africa,SEX,SEX_FMLE,2004,,,,,,,51,51.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Gambia
