Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,CountryName
3568916,NCD_HYP_PREVALENCE_A,COUNTRY,CHL,AMR,YEAR,Americas,SEX,SEX_FMLE,1990,,,,,,,33.9 [20.6-48.2],33.9,20.6,48.2,,2021-08-20T15:23:16+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Chile
3602535,NCD_HYP_PREVALENCE_A,COUNTRY,CMR,AFR,YEAR,Africa,SEX,SEX_FMLE,1990,,,,,,,33.5 [19.6-49.4],33.5,19.6,49.4,,2021-08-20T15:22:12+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Cameroon
3631201,NCD_HYP_PREVALENCE_A,COUNTRY,HRV,EUR,YEAR,Europe,SEX,SEX_FMLE,1990,,,,,,,48.0 [34.7-61.9],48.0,34.7,61.9,,2021-08-20T15:25:28+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Croatia
3639048,NCD_HYP_PREVALENCE_A,COUNTRY,MKD,EUR,YEAR,Europe,SEX,SEX_FMLE,1990,,,,,,,46.3 [31.1-62.4],46.3,31.1,62.4,,2021-08-20T15:49:10+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Macedonia
3663685,NCD_HYP_PREVALENCE_A,COUNTRY,NGA,AFR,YEAR,Africa,SEX,SEX_BTSX,1990,,,,,,,35.1 [24.5-46.8],35.1,24.5,46.8,,2021-08-20T15:48:34+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Nigeria
3703309,NCD_HYP_PREVALENCE_A,COUNTRY,ZAF,AFR,YEAR,Africa,SEX,SEX_MLE,1990,,,,,,,33.9 [21.2-47.5],33.9,21.2,47.5,,2021-08-20T15:58:35+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,South Africa
3731337,NCD_HYP_PREVALENCE_A,COUNTRY,SOM,EMR,YEAR,Eastern Mediterranean,SEX,SEX_MLE,1990,,,,,,,35.2 [19.7-52.0],35.2,19.7,52.0,,2021-08-20T15:58:20+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Somalia
3741085,NCD_HYP_PREVALENCE_A,COUNTRY,GIN,AFR,YEAR,Africa,SEX,SEX_FMLE,1990,,,,,,,39.6 [23.8-57.5],39.6,23.8,57.5,,2021-08-20T15:34:02+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Guinea
3744910,NCD_HYP_PREVALENCE_A,COUNTRY,BFA,AFR,YEAR,Africa,SEX,SEX_FMLE,1990,,,,,,,32.0 [17.4-49.8],32.0,17.4,49.8,,2021-08-20T15:21:07+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Burkina Faso
3751193,NCD_HYP_PREVALENCE_A,COUNTRY,CUB,AMR,YEAR,Americas,SEX,SEX_FMLE,1990,,,,,,,34.6 [20.8-50.4],34.6,20.8,50.4,,2021-08-20T15:25:45+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Cuba
